,marker,resolution,playback_mode,buffer,rsrp,thput
0,2,5,3,4.089557,-99.0,70176.0
1,3,5,1,16.324714999999998,-99.0,83936.0
2,4,5,1,15.314896,-99.0,108704.0
3,5,4,1,14.303012,-99.0,136224.0
4,6,4,1,14.23525,-99.0,134848.0
5,7,4,1,13.225852,-99.0,158240.0
6,8,4,1,12.214069,-99.0,151360.0
7,9,4,1,11.201346000000001,-99.0,119712.0
8,10,4,1,21.968948,-99.0,75680.0
9,11,4,1,20.958146,-99.0,136224.0
10,12,4,1,19.950178,-99.0,97696.0
11,13,4,1,38.936545,-99.0,66048.0
12,14,4,1,37.926344,-99.0,101824.0
13,15,4,1,36.91825,-99.0,88064.0
14,16,4,1,35.90669699999999,-99.0,129344.0
15,17,4,1,34.893868,-99.0,115584.0
16,18,4,1,33.883869,-99.0,119712.0
17,19,4,1,32.872292,-99.0,115584.0
18,20,4,1,31.859955,-99.0,115584.0
19,21,4,1,32.236237,-99.0,81184.0
20,22,4,1,31.226,-99.0,45408.0
21,23,4,1,30.216741,-99.0,67424.0
22,24,4,1,29.207085,-99.0,30272.0
23,25,4,1,28.199602000000002,-99.0,33024.0
24,26,4,1,27.185937,-99.0,38528.0
25,27,4,1,26.179577,-99.0,82560.0
26,28,4,1,25.168817,-99.0,49536.0
27,29,4,1,52.773753000000006,-99.0,46784.0
28,30,4,1,51.763711,-99.0,56416.0
29,31,4,1,50.74975400000001,-99.0,38528.0
30,32,4,1,49.73472200000001,-99.0,33024.0
31,33,4,1,48.72072200000001,-99.0,37152.0
32,34,4,1,47.71073200000001,-99.0,27520.0
33,35,4,1,76.69961800000002,-99.0,30272.0
34,36,4,1,75.68579100000002,-99.0,46784.0
35,37,4,1,74.673947,-99.0,94944.0
36,38,4,1,73.66418300000002,-99.0,158240.0
37,39,4,1,72.651413,-99.0,169248.0
38,40,4,1,71.638127,-99.0,159616.0
39,41,4,1,70.626125,-99.0,122464.0
40,42,4,1,69.61331200000001,-98.5,143104.0
41,43,4,1,68.60264000000001,-98.0,130720.0
42,44,4,1,67.59024699999999,-98.0,134848.0
43,45,4,1,66.578917,-98.0,156864.0
44,46,4,1,65.56718900000001,-98.0,187136.0
45,47,4,1,64.556299,-98.0,173376.0
46,48,4,1,63.54265900000001,-98.0,96320.0
47,49,4,1,62.533827,-98.0,38528.0
48,50,4,1,64.969622,-98.0,200896.0
49,51,4,1,63.957522,-98.0,59168.0
50,52,4,1,62.948597,-98.0,50912.0
51,53,4,1,61.936868000000004,-98.0,148608.0
52,54,4,1,60.928376,-98.0,52288.0
53,55,4,1,59.918994,-98.0,79808.0
54,56,4,1,58.908545999999994,-98.0,154112.0
55,57,4,1,57.89783900000001,-98.0,174752.0
56,58,4,1,56.883993999999994,-98.0,153056.0
57,59,4,1,82.42877299999998,-98.0,55040.0
58,60,4,1,81.419374,-98.0,155488.0
59,61,4,1,80.405917,-98.0,108704.0
60,62,4,1,79.39492200000002,-98.0,114208.0
61,63,4,1,78.388071,-98.0,136224.0
62,64,4,1,77.377126,-98.0,122464.0
63,65,4,1,106.36591999999999,-98.0,187136.0
64,66,4,1,105.35336,-98.0,199520.0
65,67,4,1,104.340797,-98.0,244928.0
66,68,4,1,103.331544,-98.0,160992.0
67,69,4,1,102.32049,-98.0,105952.0
68,70,4,1,101.30849,-98.0,130720.0
69,71,4,1,100.30083499999999,-98.0,188960.0
70,72,4,1,99.289908,-99.0,218784.0
71,73,4,1,98.278727,-100.0,196768.0
72,74,4,1,97.268431,-100.0,169248.0
73,75,4,1,96.25489,-100.0,114208.0
74,76,4,1,95.246111,-100.0,151360.0
75,77,4,1,94.234725,-100.0,137600.0
76,78,4,1,93.22110699999999,-100.0,136224.0
77,79,4,1,92.210829,-100.0,200896.0
78,80,4,1,91.20051099999999,-100.0,172000.0
79,81,4,1,102.368173,-100.0,180256.0
80,82,4,1,101.35583300000002,-100.0,149984.0
81,83,4,1,100.347933,-100.0,166496.0
82,84,4,1,99.338044,-100.0,185760.0
83,85,4,1,98.326348,-100.0,224288.0
84,86,4,1,97.31441900000002,-100.0,200896.0
85,87,4,1,96.302067,-100.0,199520.0
86,88,4,1,95.293982,-100.0,262816.0
87,89,4,1,94.283622,-100.0,250432.0
88,90,4,1,93.272244,-100.0,155360.0
89,91,4,1,92.263352,-100.0,0.0
90,92,4,1,91.250073,-100.0,86688.0
91,93,4,1,108.064706,-100.0,149984.0
92,94,4,1,107.055136,-100.0,148608.0
93,95,4,1,123.76124400000002,-100.0,198144.0
94,96,4,1,122.75141100000002,-100.0,222912.0
95,97,4,1,121.74196299999998,-100.0,151360.0
96,98,4,1,120.730543,-100.0,147232.0
97,99,4,1,119.721688,-100.0,118336.0
98,100,4,1,120.99459399999999,-100.0,97696.0
99,101,4,1,119.984024,-100.0,23392.0
100,102,4,1,118.973829,-100.0,214048.0
101,103,4,1,119.852583,-100.0,187136.0
102,104,4,1,123.845628,-100.0,211904.0
103,105,4,1,122.83333400000001,-100.0,213280.0
104,106,4,1,121.82481100000001,-100.0,235296.0
105,107,4,1,120.816106,-100.0,185760.0
106,108,4,1,119.804526,-100.0,220160.0
107,109,4,1,121.902602,-100.0,260064.0
108,110,4,1,120.88913,-100.0,222912.0
109,111,4,1,119.88051599999999,-100.0,209152.0
110,112,4,1,118.869801,-100.0,214656.0
111,113,4,1,117.85783300000001,-100.0,169248.0
112,114,4,1,116.84729399999999,-100.0,100448.0
113,115,4,1,115.837423,-100.0,217568.0
114,116,4,1,114.82733999999999,-100.0,207776.0
115,117,4,1,113.818451,-100.0,216032.0
116,118,4,1,112.807754,-100.0,195392.0
117,121,5,1,3.936744,-100.0,187136.0
118,122,5,1,11.754372,-100.0,97696.0
119,123,4,1,16.031764000000006,-100.0,77056.0
120,124,4,1,15.021643999999998,-100.0,96320.0
121,125,4,1,14.013814000000002,-100.0,139744.0
122,126,4,1,13.003142999999998,-100.0,5504.0
123,127,4,1,13.769308000000002,-100.0,123840.0
124,128,4,1,22.75975,-100.0,195392.0
125,129,4,1,21.74875500000001,-100.0,180256.0
126,130,4,1,20.739517000000006,-100.0,141728.0
127,131,4,1,19.726807,-100.0,151360.0
128,132,4,1,18.719785,-99.5,180256.0
129,133,4,1,33.753368,-99.0,209152.0
130,134,4,1,32.740227000000004,-99.0,223680.0
131,135,4,1,31.726892,-99.0,205024.0
132,136,4,1,30.715896,-99.0,283456.0
133,137,4,1,29.705002,-99.0,255936.0
134,138,4,1,28.691496,-99.0,126592.0
135,139,4,1,27.683126,-99.0,246304.0
136,140,4,1,26.672966,-99.0,116960.0
137,141,4,1,25.668188,-99.0,167872.0
138,142,4,1,24.656841,-99.0,184384.0
139,143,4,1,23.647999,-99.0,83936.0
140,144,4,1,26.594097,-99.0,97696.0
141,145,4,1,25.586713,-99.0,178880.0
142,146,4,1,54.57669700000001,-99.0,94944.0
143,147,4,1,53.565022000000006,-99.0,86688.0
144,148,4,1,52.557294999999996,-99.0,141728.0
145,149,4,1,51.54600900000001,-99.0,83936.0
146,150,4,1,50.53446600000001,-99.0,63296.0
147,151,4,1,49.52573600000001,-99.0,66048.0
148,152,4,1,48.50960500000001,-99.0,64672.0
149,153,4,1,47.49944800000001,-99.0,77056.0
150,154,4,1,46.49005400000001,-99.0,67424.0
151,155,4,1,73.583752,-99.0,46784.0
152,156,4,1,72.57094599999998,-99.0,79808.0
153,157,4,1,71.56331,-99.0,101824.0
154,158,4,1,70.553619,-99.0,130720.0
155,159,4,1,69.54449600000001,-99.0,125216.0
156,160,4,1,68.533112,-99.0,105952.0
157,161,4,1,67.52189200000001,-99.0,110080.0
158,162,4,1,66.51100699999999,-99.0,133472.0
159,163,4,1,65.499706,-99.0,133472.0
160,164,4,1,64.488146,-99.0,138976.0
161,165,4,1,63.479147999999995,-99.0,125216.0
162,166,4,1,62.468262,-99.0,66048.0
163,167,4,1,61.459132999999994,-99.0,105952.0
164,168,4,1,60.448558,-99.0,67424.0
165,169,4,1,59.437411,-99.0,89440.0
166,170,4,1,58.430995,-99.0,50912.0
167,171,4,1,57.422262,-99.0,61472.0
168,172,4,1,56.412753,-99.0,33024.0
169,173,4,1,55.401215,-99.0,122464.0
170,174,4,1,54.389005000000004,-99.0,93568.0
171,175,4,1,53.380601,-99.0,107328.0
172,176,4,1,54.263554000000006,-99.0,107328.0
173,177,4,1,83.25131100000002,-99.0,123840.0
174,178,4,1,82.243077,-99.0,149984.0
175,179,4,1,81.23037500000002,-99.0,154112.0
176,180,4,1,80.22361900000001,-99.0,155488.0
177,181,4,1,79.211184,-99.0,138976.0
178,182,4,1,78.197924,-99.0,243552.0
179,183,4,1,77.19013299999997,-99.0,174752.0
180,184,4,1,76.18109799999998,-99.0,88064.0
181,185,4,1,105.169628,-99.0,85312.0
182,186,4,1,104.160071,-99.0,77056.0
183,187,4,1,103.148519,-99.0,205024.0
184,188,4,1,102.141043,-99.0,82560.0
185,189,4,1,101.132261,-99.0,90816.0
186,190,4,1,100.118596,-99.0,166496.0
187,191,4,1,99.108184,-99.0,129344.0
188,192,4,1,98.096907,-99.0,160992.0
189,193,4,1,97.08991999999999,-99.0,149984.0
190,194,4,1,96.080187,-99.0,137600.0
191,195,4,1,95.072165,-99.0,114208.0
192,196,4,1,94.062867,-99.0,125216.0
193,197,4,1,93.049184,-99.0,118336.0
194,198,4,1,92.041968,-99.0,56416.0
195,199,4,1,97.874955,-99.0,39904.0
196,200,4,1,96.865333,-99.0,136224.0
197,201,4,1,95.853333,-99.0,94944.0
198,202,4,1,94.843467,-99.0,134848.0
199,203,4,1,93.834414,-99.0,140352.0
200,204,4,1,92.82329,-99.0,133472.0
201,205,4,1,91.815785,-99.0,140352.0
202,206,4,1,90.80151500000001,-99.0,115584.0
203,207,4,1,89.79326999999998,-99.0,112832.0
204,208,4,1,88.78301099999999,-99.0,122464.0
205,209,4,1,110.930483,-99.0,149984.0
206,210,4,1,109.91977,-99.0,94944.0
207,211,4,1,108.908881,-99.0,101824.0
208,212,4,1,107.898637,-99.0,90816.0
209,213,4,1,106.88933600000001,-99.0,59168.0
